Company,Location,City,Employee Level,Aboriginal,African Caribbean / African American,African Caribbean/Canadian,American Indian or Alaskan Native,American Indian or Pacific Islander,Asian,Asian / Asian American,Asian Lineage,Asian American,Asian-Pacific Islander,BAME,BIPOC,Black,Black + Non-Black POC,Black and Brown,Black and Latina,Black or African-American,British Indian,Diverse Group,Ethnically/Racially diverse,Hispanic,Hispanic or Latinx / Hispanic Latino,Hispanic or Latinx or Asian or Other,Latin American,Latina,Latinx,Maori,Middle Eastern,Mixed Race / Mixed Ethnicity,Mixed Race Asian,Multiracial / Multiple Ethnic Background,Native Hawaiian or Pacific Islander,Non-Black POC,Non-White,Other,Persian,POC / POC Non-White,Prefer Not To Say / Undisclosed / Not Specified,South Asian,SouthEast Asian,Two or more races,Unknown,White,White/Caucasian,% Check,Number Reported Employee,Reporting %,Male,Female,Non-Binary,Gender-Fluid,Prefer Not To Say / Unspecified,Check,LGBTQ+
NuFACE,,,Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,100,,,,100,
NuFACE,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,50,,,,50,
NuFACE,,,HQ,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,59,,59,,,,81,,,,81,
OPV Beauty London,,,All,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,5,95,,,,100,
Orly,,,All,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,71,,,,71,
Ouai Haircare,,,All,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,46,38,,,88,,,,88,
P&G Beauty,,,Senior Management,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Paulas Choice,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,0,,,,,,,,0,
Paulas Choice,,,C-Suite,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Paulas Choice,,,Director or Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,0,,,,,,,,0,
Paulas Choice,,,HQ,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Peach and Lily,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,0,,,,50,,,,50,
Peach and Lily,,,HQ,,,,,,34,,,,,,,7,,,,,,,,,13,,,,,,7,13,,,,,,,,,,,,,,26,,26,,,,67,,,,67,
